Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
45-54,Environmental Consulting,Senior Consultant,105000,5000,USD,United States,Georgia,Atlanta,21 - 30 years,21 - 30 years,PhD,Woman
25-34,"Accounting, Banking & Finance",Equity Analyst,100000,5000,USD,United States,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Engineering or Manufacturing,Project Manager-Tech Lead,97500,8000,USD,United States,Illinois,Lisle,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Operations,100000,50000,USD,United States,Texas,Dallas,5-7 years,5-7 years,College degree,Man
45-54,Health care,Senior Project Specialist,125000,0,USD,United States,Massachusetts,Salem,21 - 30 years,8 - 10 years,College degree,Woman
35-44,Government and Public Administration,Public Library Director,63000,0,USD,United States,Wisconsin,Platteville,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Sales,Business Development Manager ,50000,50000,GBP,United Kingdom ,Unknown,Remote (live in Nottingham),8 - 10 years,5-7 years,College degree,Woman
35-44,Archaeology / Cultural Resource Management,Principal Investigator,79000,1000,USD,United States,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Museum,Museum Technician,52000,0,USD,United States,Maryland,Suitland,5-7 years,2 - 4 years,Master's degree,Man
25-34,Government and Public Administration,Economist,109000,3000,USD,United States,Maryland,Suitland,5-7 years,5-7 years,Master's degree,Woman
45-54,Education (Higher Education),Associate professor,54000,0,GBP,United Kingdom ,Unknown,London,21 - 30 years,21 - 30 years,PhD,Woman
45-54,Media & Digital,editor,120000,0,USD,United States,Georgia,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman
25-34,Education (Higher Education),HR Adviser,40613,0,GBP,United Kingdom,Unknown,London,8 - 10 years,5-7 years,College degree,Woman
35-44,Public library,Managing Librarian,70000,2400,USD,United States,New York,New York,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Biotech,"Manager of cGMP Manufacturing, QA, and QC",110000,2500,USD,United States,Maryland,Rockville,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Government and Public Administration,Office Administrator,58000,0,CAD,Canada,Unknown,Toronto,8 - 10 years,5-7 years,Some college,Woman
18-24,"Accounting, Banking & Finance",Accountant ,45000,0,USD,United States ,Indiana,Indianapolis ,1 year or less,1 year or less,College degree,Woman
35-44,Government and Public Administration,Senior Director of Public Policy,70000,5000,USD,united states,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Recruitment or HR,Talent Management Manager,115000,0,USD,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man
25-34,Transport or Logistics,Internal Communications Executive ,32640,0,EUR,Ireland,Unknown,Dublin,2 - 4 years,2 - 4 years,Master's degree,Woman
35-44,Agriculture or Forestry,Research assistant,17000,0,USD,United States,Pennsylvania,North East,11 - 20 years,5-7 years,Master's degree,Non-binary
55-64,Property or Construction,Accounting Manager,66000,0,USD,United States,Texas,Houston Area,31 - 40 years,21 - 30 years,College degree,Woman
45-54,Engineering or Manufacturing,Quality Manager ,80000,4000,USD,United States,Pennsylvania,Pittsburgh ,21 - 30 years,11 - 20 years,College degree,Woman
18-24,Law,Attorney,65000,5000,USD,united states,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,Master's degree,Woman
65 or over,Health care,RN,110000,10000,USD,United States,Wisconsin,Milwaukee,41 years or more,31 - 40 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Bookkeeper self-employed,114400,0,USD,United States,Virginia,Charlottesville,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),Assistant Director of Undergraduate Admissions,58300,0,USD,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman
35-44,Computing or Tech,Software Engineer,156000,189000,USD,United States,Massachusetts,Metro Boston,21 - 30 years,21 - 30 years,Master's degree,Other or prefer not to answer
45-54,Computing or Tech,Agile Coach,130000,13000,USD,United States,Minnesota,Twin cities metro area,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Education (Higher Education),Librarian ,39000,0,GBP,United Kingdom,Unknown,London,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Computing or Tech,principle product marketing manager,126000,15000,USD,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Engineering or Manufacturing,Sr. Environmental Manager,125000,3500,USD,United States,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,College degree,Man
25-34,Nonprofits,Program Manager,87000,0,CAD,Canada,Unknown,Toronto,2 - 4 years,2 - 4 years,PhD,Woman
35-44,Nonprofits,Early Intervention developmental specialist,36000,1000,USD,United States,Massachusetts,South Hadley,11 - 20 years,2 - 4 years,Master's degree,Man
25-34,Nonprofits,Grants coordinator,55000,0,USD,United States,New York,New York ,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Account Executive,53500,000,USD,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Nonprofits,Associate Director of Annual Giving,50000,0,USD,United States,Georgia,Atlanta,8 - 10 years,5-7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Cash Logistics Manager,57750,5750,USD,United States,Texas,Houston,11 - 20 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,Legislative Analyst,65000,0,USD,United States,California,Sacramento,8 - 10 years,5-7 years,College degree,Woman
25-34,Transport or Logistics,Technology Senior Business Analyst,103000,2000,USD,United States,Texas,Dallas,5-7 years,5-7 years,College degree,Woman
45-54,Education (Primary/Secondary),Principal Teacher,51000,0,GBP,United Kingdom,Unknown,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Nonprofits,Senior Marketing Specialist,65000,2700,USD,United States,Washington,Bellevue,8 - 10 years,5-7 years,College degree,Woman
25-34,Engineering or Manufacturing,Assistant Archivist,25000,1000,GBP,Scotland,Unknown,Glasgow,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Government and Public Administration,Strategic Advisor,93000,0,CAD,Canada,Unknown,Ottawa,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Education (Primary/Secondary),High School counselor ,75000,0,USD,United States,Georgia,Suwanee ,21 - 30 years,11 - 20 years,Master's degree,Woman
35-44,Nonprofits,Service Manager ,34500,0,GBP,United Kingdom,Unknown,Glasgow,11 - 20 years,11 - 20 years,College degree,Woman
18-24,"Marketing, Advertising & PR",Developer,72500,3000,USD,United States,Illinois,Chicago,5-7 years,1 year or less,College degree,Woman
35-44,Agriculture or Forestry,"Group Leader, Crop Protection Environmental and Human Safety",86000,1500,USD,United States,North Carolina,Raleigh,11 - 20 years,5-7 years,College degree,Woman
25-34,Property or Construction,Energy Specialist,75000,5000,USD,United States,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Social Work,Medical Social Worker,63000,0,USD,United States,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Public Library,Children's Librarian,39000,0,USD,United States,Ohio,Dayton,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Payroll Manager,105000,0,USD,United States,Connecticut,Fairfield,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Property or Construction,Shop Coordinator,53000,6000,USD,United States,Unknown,Orlando,21 - 30 years,8 - 10 years,High School,Woman
35-44,Computing or Tech,Senior user experience researcher,179000,130000,USD,United States,New York,New York city,11 - 20 years,8 - 10 years,PhD,Woman
35-44,"Marketing, Advertising & PR",Freelance content writer/copy editor,77000,0,USD,United States,Connecticut,Manchester,21 - 30 years,5-7 years,College degree,Woman
35-44,Media & Digital,Production Editor ,55000,0,USD,United States ,New York,New York ,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Computing or Tech,Salesforce Administrator ,64200,3000,USD,United States,Wisconsin,Madison,5-7 years,2 - 4 years,Master's degree,Other or prefer not to answer
25-34,Engineering or Manufacturing,Engineer,92000,2000,USD,United States,Texas,DFW,5-7 years,5-7 years,College degree,Woman
55-64,Government and Public Administration,Assistant General Counsel,170000,3000,USD,United States,District of Columbia,DC,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Unknown,Proposal Manager,87938,4000,USD,United States,North Carolina,Wilmington,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Health care,Pharmacist,125000,500,USD,United States,Pennsylvania,Pittsburgh,5-7 years,5-7 years,PhD,Woman
25-34,Computing or Tech,Technical Associate,60000,6000,CAD,Canada,Unknown,Toronto,1 year or less,1 year or less,College degree,Woman
55-64,"Accounting, Banking & Finance","IT Director, Project Management ",186000,0,USD,United States,New Jersey,Cherry Hill,31 - 40 years,31 - 40 years,College degree,Man
35-44,Sales,Administrative Assistant,49000,0,CAD,Canada,Unknown,Montreal,21 - 30 years,11 - 20 years,Some college,Woman
25-34,"Accounting, Banking & Finance",Staff Accountant,61800,1000,USD,United States,Ohio,Cleveland,8 - 10 years,5-7 years,College degree,Man
25-34,"Accounting, Banking & Finance","SVP, risk management",155000,31000,USD,United States,Massachusetts,Fully Remote (Greater Boston),8 - 10 years,8 - 10 years,College degree,Woman
35-44,Art & Design,Product Coordinator,40000,200,USD,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),Statistical Analyst,71750,0,USD,United States,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Computing or Tech,Program Manager,157000,0,USD,United States,Colorado,Denver,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Government Relations,Assistant ,65000,0,USD,United States ,New York,New York City ,5-7 years,5-7 years,College degree,Woman
25-34,Nonprofits,Senior research assistant,42120,0,USD,United States,New Jersey,East Hanover,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Business or Consulting,Research Associate,65000,5000,USD,United States,District of Columbia,District of Columbia,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Computing or Tech,Junior Project Manager,86000,3000,USD,United States,Colorado,Denver,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Computing or Tech,Business Analyst,85000,7000,USD,United States,Pennsylvania,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Computing or Tech,Software Development Project Manager,104000,0,USD,United States,Louisiana,New Orleans,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Computing or Tech,Human Resources Manager,88000,8800,USD,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Computing or Tech,Programmer Analyst 2,65000,3000,USD,United States,Missouri,Jefferson City,8 - 10 years,8 - 10 years,College degree,Woman
45-54,Computing or Tech,Sr development Manager,175000,175000,USD,United States,Colorado,Denver,21 - 30 years,11 - 20 years,College degree,Man
25-34,Business or Consulting,Consultant,134000,3000,USD,United States,Oregon,Portland,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Hospitality & Events,Controller,98500,10000,USD,United States,Florida,Naples,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Computing or Tech,Software Engineer,112000,0,USD,United States,Florida,Melbourne,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Health care,Speech-Language Pathologist,60000,0,USD,United States,Ohio,Medina,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Government and Public Administration,Lead Planner,57000,0,USD,United States,Texas,El Paso,5-7 years,2 - 4 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Internal Auditor ,51000,1500,USD,United States,Kentucky,Lexington ,5-7 years,5-7 years,College degree,Woman
25-34,Education (Higher Education),Assistant Professor,56000,8000,USD,United States,Wisconsin,Milwaukee,2 - 4 years,5-7 years,PhD,Woman
18-24,Nonprofits,Program Coordinator,39000,0,USD,United States,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Billing & Accounts Receivable Coordinator ,40000,2000,USD,United States,Ohio,Canton,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Law,Paralegal,71500,1500,CAD,Canada,Unknown,Toronto,8 - 10 years,5-7 years,College degree,Woman
45-54,Software as a Service SaaS,"Director, Learning Content & Training",68000,1000,USD,United States,District of Columbia,Washington,11 - 20 years,8 - 10 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Branch Manager,65000,3000,USD,United States,Texas,Richardson,11 - 20 years,11 - 20 years,Some college,Woman
25-34,Public health in higher education,Program Manager,67000,9000,USD,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Government and Public Administration,program analyst,126000,1000,USD,United States,District of Columbia,DC,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Business or Consulting,Planning analyst,75000,30000,USD,United States,Florida,Panhandle region,5-7 years,5-7 years,Master's degree,Woman
45-54,Health care,Clinical Pharmacist ,146000,0,USD,United States,Massachusetts,Boston ,11 - 20 years,11 - 20 years,PhD,Woman
25-34,Engineering or Manufacturing,Senior Engineer,100000,2500,USD,United States,Colorado,Golden,8 - 10 years,8 - 10 years,PhD,Woman
35-44,Property or Construction,Project Manager,52000,6000,USD,United States,South Carolina,Charleston,11 - 20 years,5-7 years,High School,Woman
25-34,"Accounting, Banking & Finance",Senior Associate,135000,5000,USD,United States,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing or Tech,Technical Project Manager,131000,14000,USD,United States,California,Bay Area,8 - 10 years,5-7 years,College degree,Woman
45-54,Media & Digital,Special Projects Manager,64000,2000,USD,United States,New York,New York ,21 - 30 years,5-7 years,Master's degree,Woman
18-24,Law Enforcement & Security,Library Assistant,49000,1000,USD,United States,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Manufacturing and distributing,Customer Support Representative ,38800,0,USD,United States,Texas,Houston,11 - 20 years,2 - 4 years,College degree,Woman
35-44,"Leisure, Sport & Tourism",Administrator,31000,0,EUR,Ireland,Unknown,Dublin,21 - 30 years,11 - 20 years,Some college,Woman
25-34,Nonprofits,Financial Administrator,50000,0,USD,United States,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Government and Public Administration,Public Health Advisor,126000,2300,USD,United States,Unknown,Atlanta,31 - 40 years,21 - 30 years,Master's degree,Woman
