City,Industry,Average_Salary
"Buffalo ","Accounting, Banking & Finance",77666.6667
"Buffalo ","Recruitment or HR",95000.0000
"Buffalo Grove","Property or Construction",50000.0000
"Buffalo, NY",Insurance,100000.0000
Buford,"Accounting, Banking & Finance",250000.0000
burbank,"Accounting, Banking & Finance",89900.0000
Burbank,"Computing or Tech",172000.0000
Burbank,"Engineering or Manufacturing",70000.0000
Burbank,Entertainment,171500.0000
Burbank,"Health care",31000.0000
Burbank,"Media & Digital",135200.0000
Burleson,"Education (Primary/Secondary)",72500.0000
"Burlingame ","Health care",56000.0000
Burlington,"Accounting, Banking & Finance",52000.0000
Burlington,"Business or Consulting",125000.0000
Burlington,"Computing or Tech",129312.5000
Burlington,"Education (Higher Education)",33000.0000
Burlington,"Education (Primary/Secondary)",99635.5000
Burlington,"Engineering or Manufacturing",115000.0000
Burlington,"Government and Public Administration",77800.0000
Burlington,"Health care",72000.0000
Burlington,"International Development",101900.0000
Burlington,"Marketing, Advertising & PR",71333.3333
Burlington,"Media & Digital",98000.0000
Burlington,"Medical Devices",91155.0000
Burlington,"Mining & Mineral Processing",55000.0000
Burlington,Nonprofits,48886.0000
Burlington,"Recruitment or HR",130000.0000
Burlington,Retail,32420.0000
Burlington,"Social Work",95000.0000
Burlington,"Utilities & Telecommunications",120000.0000
"Burlington ","Business or Consulting",49120.0000
"Burlington ","Food processing and packaging",84000.0000
"Burlington ","Social Work",51000.0000
"Burlington, MA","Computing or Tech",100000.0000
Burly,Nonprofits,68571.0000
Burnaby,"Accounting, Banking & Finance",90100.0000
"Burnaby BC","Utilities & Telecommunications",63000.0000
Butler,"Education (Primary/Secondary)",23337.0000
Calgary,"Accounting, Banking & Finance",105142.8571
Calgary,"Business or Consulting",80000.0000
Calgary,"Computing or Tech",110447.8000
Calgary,"Education (Higher Education)",57369.5000
Calgary,"Education (Primary/Secondary)",92000.0000
Calgary,Energy,185000.0000
Calgary,"Engineering or Manufacturing",80811.1111
Calgary,"Environment - Oil and Gas",124800.0000
Calgary,"Government and Public Administration",106900.0000
Calgary,"Health care",86500.0000
Calgary,"Hospitality & Events",49000.0000
Calgary,Insurance,89000.0000
Calgary,Law,65020.0000
Calgary,"Marketing, Advertising & PR",95000.0000
Calgary,Nonprofits,79400.0000
Calgary,"Oil & Gas",160000.0000
Calgary,"Oil and gas",125000.0000
Calgary,"Recruitment or HR",80000.0000
Calgary,Retail,35000.0000
Calgary,Sales,52200.0000
Calgary,"Social Work",53500.0000
Calgary,"Trades (Supply Chain) Oil and Gas",91160.0000
Calgary,"Transport or Logistics",93875.0000
Calgary,"Utilities & Telecommunications",98625.0000
"Calgary ","Engineering or Manufacturing",112320.0000
"Calgary ",Sales,100000.0000
"Calgary AB","Engineering or Manufacturing",52500.0000
"Calgary Alberta",Nonprofits,54080.0000
"Calgary, AB","Accounting, Banking & Finance",47000.0000
"Calgary, AB",Law,48000.0000
"Calgary, Alberta","Computing or Tech",135000.0000
"Calhoun, GA","Engineering or Manufacturing",56000.0000
Camarillo,"Engineering or Manufacturing",107000.0000
"Camarillo ","Engineering or Manufacturing",77000.0000
Cambridge,"Accounting, Banking & Finance",68500.0000
Cambridge,"Art & Design",65300.0000
Cambridge,"Biological Sciences",78000.0000
Cambridge,"Biomedical Research",120000.0000
Cambridge,Biopharma,121000.0000
Cambridge,Biotech,117560.4000
Cambridge,Biotech/pharma,120500.0000
Cambridge,Biotechnology,76500.0000
Cambridge,"Business or Consulting",95500.0000
Cambridge,"Computing or Tech",129978.3256
Cambridge,"Contract Research",105000.0000
Cambridge,"Education (Higher Education)",74107.4000
Cambridge,"Education (Primary/Secondary)",75000.0000
Cambridge,"Engineering or Manufacturing",64775.0000
Cambridge,Entertainment,55000.0000
Cambridge,"Government and Public Administration",107000.0000
Cambridge,"Health care",119210.4444
Cambridge,Law,91142.6667
Cambridge,"Marketing, Advertising & PR",79000.0000
Cambridge,"Media & Digital",43850.0000
Cambridge,Nonprofits,78978.5714
Cambridge,"Pharma research",180000.0000
Cambridge,Pharmaceutical,113000.0000
Cambridge,Pharmaceutical/biotechnology,227500.0000
Cambridge,Pharmaceuticals/Biotechnology,194000.0000
Cambridge,PhD,19000.0000
Cambridge,"Property or Construction",76500.0000
Cambridge,Publishing,75500.0000
Cambridge,"Recruitment or HR",115000.0000
Cambridge,"Research ",54000.0000
Cambridge,"Research and Development",162500.0000
Cambridge,"Science research",82000.0000
"Cambridge ","Accounting, Banking & Finance",27825.0000
"Cambridge ","Biotech ",123000.0000
"Cambridge ","Biotechnology ",187416.6667
"Cambridge ","Computing or Tech",137500.0000
"Cambridge ","Education (Higher Education)",98666.6667
"Cambridge ","Engineering or Manufacturing",78000.0000
"Cambridge ","Entrepreneur high net worth ",46000.0000
"Cambridge ","Health care",97000.0000
"Cambridge ",Law,225000.0000
"Cambridge ",Pharmaceutical/Biotech,160000.0000
"Cambridge ",Retail,20000.0000
"Cambridge ","Social Work",20800.0000
"Cambridge (Boston metro area)",Nonprofits,70000.0000
"Cambridge MA","Education (Higher Education)",86000.0000
"Cambridge, MA",biotech,110000.0000
"Cambridge, MA","Biotech/Drug Development",90000.0000
"Cambridge, MA","Computing or Tech",114944.0000
"Cambridge, MA","Education (Higher Education)",51800.8000
"Cambridge, Massachusetts","Computing or Tech",118000.0000
"Cambridge, ON","Accounting, Banking & Finance",80340.0000
"Cambridge, ON","Health care",74500.0000
"Cambridge, Ontario","Engineering or Manufacturing",93000.0000
"Cambridge, Ontario",Insurance,52260.0000
"Cambridge, UK","Engineering or Manufacturing",43750.0000
Cambridge/Boston,Biotech/Pharma,190000.0000
Camden,"Accounting, Banking & Finance",75000.0000
Camden,Communications,76500.0000
Camden,"Computing or Tech",93500.0000
Camden,"Education (Primary/Secondary)",103000.0000
"Camp hill","Computing or Tech",73000.0000
"Camp Hill","Health Insurance ",72000.0000
"Camp Verde","Government and Public Administration",32000.0000
"Campbell River ","Agriculture or Forestry",72100.0000
"can't say",Retail,35000.0000
"Can't share","Education (Higher Education)",50000.0000
Canada,"Engineering or Manufacturing",86000.0000
"Canada ","Property or Construction",70000.0000
Canberra,"Accounting, Banking & Finance",166400.0000
Canberra,"Business or Consulting",125000.0000
Canberra,"Computing or Tech",190000.0000
Canberra,Construction,116000.0000
Canberra,"Education (Higher Education)",135100.0000
Canberra,"Government and Public Administration",124274.8750
Canberra,Law,75000.0000
Canberra,Research,86158.0000
Canberra,Retail,60000.0000
"Canberra ","Business or Consulting",186000.0000
"Canbridge, UK",Pharmaceuticals,38800.0000
Cannock,"Engineering or Manufacturing",31594.0000
Canton,"Accounting, Banking & Finance",67500.0000
Canton,"Auto Mfg.",104000.0000
Canton,"Computing or Tech",70960.0000
Canton,"Education (Higher Education)",65000.0000
Canton,"Engineering or Manufacturing",75000.0000
Canton,Law,45000.0000
Canton,"Property or Construction",38000.0000
"Cape Canaveral","Engineering or Manufacturing",75000.0000
"Cape Cod region","oceanography research",45000.0000
"Cape Girardeau ","Accounting, Banking & Finance",52500.0000
"Cape Town","Business or Consulting",276000.0000
"Cape Town","Computing or Tech",462000.0000
"Cape Town","Media & Digital",543000.0000
"Cape Town ","Computing or Tech",78000.0000
Carbondale,"Health care",46800.0000
Cardiff,"Business or Consulting",30500.0000
Cardiff,"Computing or Tech",77000.0000
Cardiff,"Engineering or Manufacturing",38500.0000
Cardiff,"Government and Public Administration",36097.5000
Cardiff,"Hospitality & Events",42000.0000
Cardiff,"Recruitment or HR",28000.0000
Cardiff,"Transport or Logistics",30300.0000
"Cardiff ","Accounting, Banking & Finance",32500.0000
Cardington,"Accounting, Banking & Finance",30000.0000
Carlisle,"Accounting, Banking & Finance",10500.0000
"Carlisle ","Accounting, Banking & Finance",27500.0000
Carlsbad,"Accounting, Banking & Finance",62400.0000
Carlsbad,"Business or Consulting",69000.0000
Carlsbad,"Computing or Tech",112250.0000
Carmel,"Government and Public Administration",65000.0000
Carmel,"Hospitality & Events",59000.0000
"Carmel, Indiana","Engineering or Manufacturing",70000.0000
Carpinteria,"Accounting, Banking & Finance",50000.0000
Carpinteria,Manufacturing,54538.0000
Carrollton,"Education (Higher Education)",66000.0000
Carrollton,"Engineering or Manufacturing",51000.0000
Carrollton,"Health care",55120.0000
"Carson City","Government and Public Administration",70754.7500
"Carson City",Law,99250.0000
"Carson City","Marketing, Advertising & PR",45000.0000
"Cartersville ",Nonprofits,39000.0000
"Cartersville GA","Auto Repair",50000.0000
Cary,"Accounting, Banking & Finance",95000.0000
Cary,"Computing or Tech",97142.8571
Cary,"Health care",111000.0000
Cary,"Marketing, Advertising & PR",95000.0000
Cary,"Media & Digital",53500.0000
Cary,Retail,47736.0000
"Cary, NC","Health care",38000.0000
Casper,"Education (Primary/Secondary)",78000.0000
Castlegar,"Utilities & Telecommunications",110000.0000
Caterham,Insurance,39140.0000
CDA,Insurance,47000.0000
"Cedar Grove, NJ","Health care",64147.0000
"Cedar Rapids","Accounting, Banking & Finance",50614.0000
"Cedar Rapids","Computing or Tech",126000.0000
"cedar rapids","Engineering or Manufacturing",96500.0000
"Cedar rapids","Government and Public Administration",105000.0000
"Cedar Rapids","Hospitality & Events",40040.0000
"Cedar Rapids","Internal Communications",100800.0000
"Cedar Rapids","Media & Digital",43680.0000
"Cedar Rapids",Nonprofits,74000.0000
"Cedar Rapids",Retail,38000.0000
"Cedar Rapids ","Computing or Tech",142000.0000
"Cedar Rapids ",Nonprofits,37000.0000
Cedarhurst,"Media & Digital",96200.0000
Celina,"Education (Primary/Secondary)",46000.0000
Centennial,"Property or Construction",60000.0000
Centennial,"Utilities & Telecommunications",62000.0000
"Centennial ",Law,42800.0000
Center,Retail,32448.0000
"Central IL","Education (Higher Education)",50000.0000
"Central IL","Health care",49000.0000
"Central Illinois","Accounting, Banking & Finance",115000.0000
"Central KY","Public Libraries",62000.0000
"Central Maine","Education (Higher Education)",44000.0000
"central nj",Nonprofits,93000.0000
"Central NY","Education (Higher Education)",59713.0000
"Central PA","Engineering or Manufacturing",61000.0000
"Central PA",Insurance,53000.0000
"Central Qld","Engineering or Manufacturing",110000.0000
"Central Valley","Education (Higher Education)",99000.0000
"Central Virginia","Education (Higher Education)",56000.0000
"Central Virginia",Nonprofits,98000.0000
Centralia,"Agriculture or Forestry",72000.0000
Centreville,"Computing or Tech",72000.0000
Cerritos,"Restaurant ",29120.0000
CFL,"Government and Public Administration",48000.0000
Chambersburg,"Education (Higher Education)",1000.0000
Champaign,"Accounting, Banking & Finance",36075.0000
Champaign,"Computing or Tech",82000.0000
Champaign,"Education (Higher Education)",56373.0000
Champaign,"Engineering or Manufacturing",100000.0000
Champaign,"Government and Public Administration",65160.0000
Champaign,"Health care",71000.0000
Champaign,Insurance,48500.0000
Champaign,"Marketing, Advertising & PR",25012.0000
Champaign,"Property or Construction",105000.0000
"Champaign Area","Agriculture or Forestry",66000.0000
"Champaign Urbana","Education (Higher Education)",55000.0000
Champaign-Urbana,"Education (Higher Education)",53000.0000
"Champaign, IL","Education (Higher Education)",18500.0000
Chandler,"Accounting, Banking & Finance",55000.0000
Chandler,"Computing or Tech",71000.0000
Chandler,"Engineering or Manufacturing",114500.0000
Chandler,"Health care",37440.0000
Chandler,"Recruitment or HR",98000.0000
Chandler,Retail,69500.0000
Chanhassen,"Computing or Tech",85000.0000
Chanhassen,"Marketing, Advertising & PR",77250.0000
Chanhassen,"Media & Digital",72800.0000
Chantilly,"Computing or Tech",168500.0000
Chantilly,"Engineering or Manufacturing",83500.0000
Chantilly,Nonprofits,58650.0000
Chantilly,"Recruitment or HR",116600.0000
Chantilly,Sales,103000.0000
"Chantilly, VA",Nonprofits,55000.0000
"Chapel Hill","Accounting, Banking & Finance",70025.0000
"Chapel Hill","clinical trials research coordination",44000.0000
"Chapel Hill","Computing or Tech",140962.5000
"Chapel Hill","Education (Higher Education)",73224.9000
"Chapel Hill","Health care",63000.0000
"Chapel Hill","Media & Digital",68900.0000
"Chapel Hill",Nonprofits,62550.0000
"Chapel Hill",Sales,50003.0000
"Chapel Hill","Utilities & Telecommunications",140000.0000
Charleston,"Accounting, Banking & Finance",45000.0000
Charleston,"Business or Consulting",121000.0000
Charleston,"Defense Contracting",95000.0000
Charleston,"Education (Primary/Secondary)",37500.0000
Charleston,"Engineering or Manufacturing",70000.0000
Charleston,Entertainment,250000.0000
Charleston,"Government and Public Administration",73512.0000
Charleston,"Hospitality & Events",56250.0000
Charleston,Manufacturing,77000.0000
Charleston,"Marketing, Advertising & PR",45000.0000
Charleston,"Property or Construction",52000.0000
Charleston,Retail,34017.5000
Charleston,"Veterinary care",36000.0000
"Charleston ","Education (Higher Education)",41600.0000
"Charleston ","Government and Public Administration",33534.0000
"Charleston ",Nonprofits,27000.0000
"Charleston area",Nonprofits,65000.0000
Charlestown,"Grocery delivery",50000.0000
"Charlestown (Boston)","Engineering or Manufacturing",75000.0000
Charlotte,"Accounting, Banking & Finance",89366.6667
Charlotte,"Agriculture or Forestry",150000.0000
Charlotte,"Art & Design",32000.0000
Charlotte,"Business or Consulting",106000.0000
Charlotte,"Commercial Real Estate",64250.0000
Charlotte,"Computing or Tech",115537.7500
Charlotte,"Education (Higher Education)",65250.0000
Charlotte,"Education (Primary/Secondary)",68000.0000
Charlotte,"Engineering or Manufacturing",96900.0000
Charlotte,"Government and Public Administration",53500.0000
Charlotte,"Health care",73848.3333
Charlotte,"I work in the finance function of a large global conglomerate",90000.0000
Charlotte,Insurance,66520.0000
Charlotte,Law,147000.0000
Charlotte,Library,69665.0000
Charlotte,Library--public,81916.0000
charlotte,"Manufacturing ",72000.0000
Charlotte,"Marketing, Advertising & PR",88000.0000
Charlotte,"Media & Digital",140000.0000
Charlotte,Nonprofits,78300.0000
Charlotte,"Print / Mail",87000.0000
Charlotte,"Property or Construction",94000.0000
Charlotte,"Real Estate",40000.0000
Charlotte,"Recruitment or HR",91000.0000
Charlotte,Retail,93600.0000
Charlotte,"Utilities & Telecommunications",46000.0000
"Charlotte ","Accounting, Banking & Finance",116666.6667
"Charlotte ","Education (Higher Education)",92000.0000
"Charlotte ","Health care",93000.0000
"Charlotte ","Hospitality & Events",59800.0000
"Charlotte ",Law,56750.0000
"Charlotte ",Nonprofits,85000.0000
"Charlotte ",Unknown,74000.0000
"Charlotte ","User Experience Design",140000.0000
"Charlotte ","Utilities & Telecommunications",105000.0000
"Charlotte area ","Government and Public Administration",75000.0000
Charlottesville,"Accounting, Banking & Finance",75700.0000
Charlottesville,"Computing or Tech",113910.5000
Charlottesville,"Education (Higher Education)",57750.0000
Charlottesville,"Education (Primary/Secondary)",47612.0000
Charlottesville,"Engineering or Manufacturing",67000.0000
charlottesville,"Health care",56149.0000
Charlottesville,"Hospitality & Events",50180.0000
Charlottesville,"Marketing, Advertising & PR",124800.0000
Charlottesville,"Recruitment or HR",93000.0000
Charlottesville,Research,43000.0000
Charlottesville,Science,54000.0000
Charlottesville,"Utilities & Telecommunications",57000.0000
Charlottesville,Veterinary,227000.0000
"Charlottesville ","Accounting, Banking & Finance",120000.0000
"Charlottesville ","Business or Consulting",39000.0000
"Charlottesville ","Education (Higher Education)",45000.0000
"Charlottesville ","Health care",93000.0000
"Charlottesville ",Nonprofits,78000.0000
"Charlottesville ","Property or Construction",56000.0000
"Charlottesville ","Science/government ",110500.0000
Charlottetown,"Education (Higher Education)",114000.0000
Charlottetown,"Government and Public Administration",102500.0000
Charlottetown,"Hospitality & Events",40000.0000
Charlton,"Health care",85000.0000
Chaska,"Engineering or Manufacturing",117000.0000
Chatham,"Marketing, Advertising & PR",400000.0000
Chatham,"Property or Construction",60000.0000
Chatsworth,"Consumer Goods",130000.0000
Chattanooga,"Accounting, Banking & Finance",77000.0000
Chattanooga,"Art & Design",67000.0000
Chattanooga,"Computing or Tech",129245.0000
Chattanooga,"Education (Higher Education)",67000.0000
Chattanooga,"Education (Primary/Secondary)",65000.0000
Chattanooga,"Health care",93000.0000
Chattanooga,Insurance,75333.3333
Chattanooga,Law,123666.6667
Chattanooga,"Marketing, Advertising & PR",55000.0000
Chattanooga,Nonprofits,40881.0000
Chattanooga,"Transport or Logistics",66000.0000
Chattanooga,"Utilities & Telecommunications",82275.0000
"Chattanooga ",Insurance,155500.0000
"Chehalis ","Business or Consulting",105000.0000
Chelmsford,"Education (Primary/Secondary)",74000.0000
Chelmsford,"Engineering or Manufacturing",96000.0000
Chelmsford,Insurance,58500.0000
Chelmsford,"Utilities & Telecommunications",50000.0000
Chelsea,"Hospitality & Events",135000.0000
Chelsea,Nonprofits,49939.0000
Cheltenham,"Computing or Tech",38300.0000
Cheltenham,"Education (Higher Education)",61000.0000
Chennai,"Education (Primary/Secondary)",60000.0000
chennai,"Marketing, Advertising & PR",4740.0000
"Cherry Hill","Accounting, Banking & Finance",186000.0000
"Cherry Hill","Education (Primary/Secondary)",44800.0000
"Cherry Hill",Libraries,51300.0000
"Cherry Hill","Recruitment or HR",70000.0000
"Cherry Hill","Sales ",76000.0000
"Cherry hill",Unknown,140000.0000
"Cherry Hill ",Retail,40000.0000
"Cherry Hill, NJ","Computing or Tech",60000.0000
Chesapeake,"Government and Public Administration",77000.0000
CHESAPEAKE,"Government Contracting",123000.0000
Chesapeake,"Health care",135000.0000
Chesapeake,Law,110000.0000
Cheshire,"Engineering or Manufacturing",74200.0000
Cheshire,"Health care",85000.0000
Chester,"Chemical Manufacturing",47902.0000
Chester,"Education (Higher Education)",42000.0000
Chester,"Education (Primary/Secondary)",47000.0000
Chester,"Engineering or Manufacturing",125000.0000
Chester,"Health care",45000.0000
Chester,Nonprofits,92000.0000
"Chester County","Accounting, Banking & Finance",133000.0000
"Chester Springs, PA","Health care",136000.0000
Chesterbrook,"Computing or Tech",69000.0000
Chesterfield,"Education (Primary/Secondary)",32448.0000
Chesterfield,Nonprofits,27640.0000
Chesterfield,Retail,75660.0000
"Chesterfield ","Health care",50336.0000
"Chesterfield, MI",Retail,33280.0000
Chestertown,"Education (Higher Education)",43860.0000
"Chestnut Hill","Education (Higher Education)",64000.0000
"Chestnut Hill","Education (Primary/Secondary)",97000.0000
"Chevy Chase","Computing or Tech",175000.0000
"Chevy Chase",Insurance,82000.0000
Cheyenne,"Education (Primary/Secondary)",90000.0000
Cheyenne,"Public library",81000.0000
"Cheyenne, Wy","State DOT",45000.0000
Chicacgo,"Art & Design",40000.0000
Chicago,"Academic Medicine ",55000.0000
Chicago,"Accounting, Banking & Finance",118912.8571
Chicago,"Aerospace ",107000.0000
Chicago,"Architectural/Land Planning/Civil Engineering",53500.0000
Chicago,Architecture,65000.0000
Chicago,"Art & Design",69857.1429
Chicago,"Business or Consulting",110195.7576
Chicago,"Commercial Real Estate",105000.0000
Chicago,"Computing or Tech",126462.6729
Chicago,"consumer product design",117000.0000
Chicago,"Consumer Products design ",69000.0000
Chicago,"Customer Service",55000.0000
Chicago,Eap,73000.0000
Chicago,"Editor in educational publishing",49000.0000
Chicago,"Education (Higher Education)",76755.0000
Chicago,"Education (Primary/Secondary)",82585.4545
Chicago,"Educational Research",56000.0000
Chicago,"Engineering or Manufacturing",107548.5000
Chicago,Entertainment,93000.0000
Chicago,"Food and Flavor",104000.0000
Chicago,Gambling,66820.0000
Chicago,"Gaming (Gambling)",72000.0000
Chicago,"Government and Public Administration",85352.6471
Chicago,"Health care",109573.5517
Chicago,"Hospitality & Events",302250.0000
Chicago,Insurance,102939.4783
Chicago,Law,158172.4242
Chicago,"Legal Services",98500.0000
Chicago,"Leisure, Sport & Tourism",59324.6667
Chicago,Libraries,61000.0000
Chicago,Library,48900.0000
Chicago,Manufacturing,84000.0000
Chicago,"Marketing, Advertising & PR",91544.7442
Chicago,"Media & Digital",70429.5789
Chicago,Museum,87000.0000
Chicago,Nonprofits,73964.2286
Chicago,"Pharmaceutical R&D",119000.0000
Chicago,Politics,64000.0000
Chicago,"Property or Construction",92710.0000
Chicago,Publishing,97000.0000
Chicago,"Real estate",55350.0000
Chicago,"Real estate valuation",62000.0000
Chicago,"Recruitment or HR",90225.0000
Chicago,"Renewable Energy",75000.0000
Chicago,"Research and Development, Food and Beverage ",50000.0000
Chicago,Retail,82000.0000
Chicago,"Retail real estate",67000.0000
Chicago,Sales,90111.1111
Chicago,"Scientific Research",34000.0000
Chicago,"Social Work",47428.5714
Chicago,"Transport or Logistics",69774.1667
Chicago,Unknown,87500.0000
Chicago,"Utilities & Telecommunications",89142.8571
"Chicago ","Accounting, Banking & Finance",74750.0000
"Chicago ","Architecture ",108000.0000
"Chicago ","Art & Design",38000.0000
"Chicago ","Business or Consulting",103000.0000
"Chicago ","Computing or Tech",140500.0000
"Chicago ","Education (Higher Education)",64750.0000
"Chicago ","Government and Public Administration",106000.0000
"Chicago ","Health care",65750.0000
"Chicago ",Insurance,94772.5000
"Chicago ","Labor Union",70000.0000
"Chicago ",Law,66666.6667
"Chicago ","Marketing, Advertising & PR",105000.0000
"Chicago ","Media & Digital",75000.0000
"Chicago ",Mining,59000.0000
"Chicago ",Nonprofits,69000.0000
"Chicago ",Purchasing,86200.0000
"Chicago ","Real Estate/ Mortgage ",47008.0000
"Chicago ","Recruitment or HR",44750.0000
"Chicago ",Retail,84000.0000
"Chicago ","Shared office space",48000.0000
"Chicago ","Transport or Logistics",83366.6667
"Chicago ","Utilities & Telecommunications",101000.0000
"Chicago -remote position though ",Insurance,47500.0000
"Chicago (but distributed workplace)","Media & Digital",140000.0000
"Chicago (remote) ","Computing or Tech",110000.0000
"Chicago (suburbs)",Library,69000.0000
"Chicago / FT Remote","Computing or Tech",130000.0000
"Chicago area","Engineering or Manufacturing",136843.0000
"Chicago Area","Environmental/Cultural Resource Management",48500.0000
"Chicago area","Government and Public Administration",21250.0000
"Chicago but the company is remote","Computing or Tech",65000.0000
"Chicago metro","Government and Public Administration",38000.0000
"Chicago suburbs","Accounting, Banking & Finance",76950.0000
"Chicago suburbs","Business or Consulting",87500.0000
"Chicago Suburbs","Computing or Tech",55000.0000
"Chicago Suburbs","Education (Higher Education)",67500.0000
"Chicago Suburbs","Education services (tutoring)",100000.0000
"Chicago suburbs","Engineering or Manufacturing",106000.0000
"Chicago suburbs","Government and Public Administration",90000.0000
"Chicago suburbs","Health care",138000.0000
"Chicago suburbs",Law,80000.0000
"Chicago Suburbs","Recruitment or HR",78500.0000
"Chicago, IL","Computing or Tech",117750.0000
"Chicago, IL",Nonprofits,47000.0000
"Chicago, IL",Retail,72000.0000
"Chicago, IL ","Education (Higher Education)",51500.0000
"Chicago, IL (but I work remotely) ","Education start-up",93600.0000
"Chicago/Deerfield (two offices)","Accounting, Banking & Finance",46280.0000
Chicagoland,"Government and Public Administration",73000.0000
Chicagoland,Insurance,47425.0000
Chicagoland,"Law Enforcement & Security",76500.0000
Chickasha,"Education (Higher Education)",25500.0000
Chico,"Business or Consulting",67000.0000
Chico,"Education (Higher Education)",52000.0000
Chico,"Government and Public Administration",130660.0000
Chico,Retail,39520.0000
Chicopee,"Education (Higher Education)",15000.0000
Chicopee,"Health care",147147.0000
Chilliwack,"Law Enforcement & Security",75000.0000
Chilliwack,"Marketing, Advertising & PR",83000.0000
"Chilliwack ","Engineering or Manufacturing",63000.0000
"Chilliwack, BC","Engineering or Manufacturing",112000.0000
"China Lake","Government and Public Administration",136716.0000
Chirk,"Engineering or Manufacturing",30000.0000
Chomutov,Retail,233160.0000
"choose not to answer","Computing or Tech",124000.0000
Christchurch,"Education (Higher Education)",75608.0000
Christchurch,"Government and Public Administration",93000.0000
Christchurch,"Health care",54000.0000
Christchurch,Nonprofits,58500.0000
Christchurch,"Transport or Logistics",86000.0000
"Christchurch ","Engineering or Manufacturing",77250.0000
"Christchurch ",Nonprofits,79000.0000
"Chula Vista","Education (Primary/Secondary)",54000.0000
"Church Hill","Education (Primary/Secondary)",62000.0000
Cincinatti,"Engineering or Manufacturing",94350.0000
Cincinnati,"Accounting, Banking & Finance",83988.5714
Cincinnati,"Art & Design",62400.0000
Cincinnati,"Business or Consulting",83493.3333
Cincinnati,"Computing or Tech",100870.0000
Cincinnati,Construction,60000.0000
Cincinnati,"Consumer Research",97000.0000
Cincinnati,"Education (Higher Education)",58525.0000
Cincinnati,"Education (Primary/Secondary)",59885.0000
Cincinnati,"Engineering or Manufacturing",76687.5000
Cincinnati,"Government and Public Administration",57500.0000
Cincinnati,"Government Contractor",100000.0000
Cincinnati,"Health care",70131.8750
Cincinnati,"Hospitality & Events",47500.0000
Cincinnati,Insurance,140000.0000
Cincinnati,Law,100000.0000
Cincinnati,"Marketing, Advertising & PR",57810.0000
Cincinnati,"Media & Digital",56000.0000
Cincinnati,Pharmaceuticals,83000.0000
Cincinnati,"Property or Construction",41638.0000
Cincinnati,"Recruitment or HR",91500.0000
Cincinnati,Retail,84500.0000
Cincinnati,Sales,64500.0000
Cincinnati,"Social Work",35360.0000
Cincinnati,"Utilities & Telecommunications",86078.0000
"Cincinnati ","Accounting, Banking & Finance",112000.0000
"Cincinnati ","Business or Consulting",56000.0000
"Cincinnati ","Education (Higher Education)",81000.0000
"Cincinnati ","Government and Public Administration",42000.0000
"Cincinnati ","Health care",120000.0000
"Cincinnati ",Insurance,73000.0000
"Cincinnati ","Manufacturing ",78500.0000
"Cincinnati ","Marketing, Advertising & PR",185000.0000
"Cincinnati ","Media & Digital",260000.0000
"Cincinnati ","Property or Construction",66000.0000
"Cincinnati ","Recruitment or HR",80000.0000
"Cincinnati ","Research & Development ",65000.0000
"Cincinnati, OH","Engineering or Manufacturing",123000.0000
"Cincinnati, OH","Health care",107900.0000
"Cincinnati, OH",Law,101000.0000
"Cincinnati, Ohio",Insurance,180000.0000
City,"Hospitality & Events",150000.0000
"city in Middle Georgia ","Education (Higher Education)",54000.0000
"City is too identifiable, state of NRW","Education (Higher Education)",45506.0000
"City of Buenos Aires","Health care",1080000.0000
"Ciudad de Panamá","Accounting, Banking & Finance",27600.0000
Claremont,"Education (Higher Education)",75000.0000
Claremont,"Education (Primary/Secondary)",53000.0000
Clarksburg,"Computing or Tech",116500.0000
Clarksburg,"Education (Higher Education)",47500.0000
"Clarksville ","Government and Public Administration",72000.0000
Clayton,Insurance,61000.0000
Clearfield,"Computing or Tech",94000.0000
Clearwater,"Health care",66000.0000
Clemson,"Computing or Tech",79000.0000
"Clemson ","Education (Higher Education)",63000.0000
Clermont,"Beverage & Spirits",103000.0000
Cleveland,"Accounting, Banking & Finance",77451.2500
Cleveland,"Aerospace/Aviation ",90000.0000
Cleveland,"Business or Consulting",141025.0000
Cleveland,"Computing or Tech",111136.3636
Cleveland,"Education (Higher Education)",53232.2500
Cleveland,"Education (Primary/Secondary)",81866.6667
Cleveland,"Engineering or Manufacturing",87475.0000
Cleveland,Entertainment,42000.0000
Cleveland,"Environment, health, and safety",70000.0000
Cleveland,"Environmental Science",65000.0000
Cleveland,"Government and Public Administration",114900.0000
Cleveland,"Health care",116250.0000
Cleveland,"Hospitality & Events",29500.0000
Cleveland,Insurance,92525.0000
Cleveland,Law,132785.7143
Cleveland,"Leisure, Sport & Tourism",120000.0000
Cleveland,"Marketing, Advertising & PR",66330.0000
Cleveland,"Medical Communications",130000.0000
Cleveland,Nonprofits,57242.5000
Cleveland,"Professional Public Librarian",34500.0000
Cleveland,"Property or Construction",64666.6667
Cleveland,"Real World Evidence (data for pharma research)",181290.0000
Cleveland,"Recruitment or HR",60500.0000
Cleveland,"Research & Development",75000.0000
Cleveland,Retail,93500.0000
Cleveland,Sales,145500.0000
Cleveland,"Science (Laboratory)",59000.0000
Cleveland,Unknown,68000.0000
"Cleveland ","Business or Consulting",60000.0000
"Cleveland ","Computing or Tech",510000.0000
"Cleveland ","Education (Higher Education)",53000.0000
"Cleveland ","Food & Beverages",55000.0000
"Cleveland ","Government and Public Administration",70000.0000
"Cleveland ","Health care",222000.0000
